name_of_scheme,gender,caste,annual_income,educational_qualification,link,required_documents
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Post Matric Scholarship (Maharashtra - OBC/VJNT/SBC),All,OBC,100000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar,CasteCertificate,IncomeCertificate,Domicile,Marksheet,Bank Passbook"
,,,,,,
Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship,All,SC,800000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar,CasteCertificate,IncomeCertificate,10th Marksheet, Bank Details"
,,,,,,
Eklavya Scholarship (Maharashtra),All,Open,75000,Graduate,https://mahadbt.maharashtra.gov.in,"Aadhaar, Income Certificate, Domicile, Previous Year Marksheet, Bank Details"
,,,,,,
Savitribai Phule Scholarship (Girl Students),Female,SC,200000,10th,https://mahadbt.maharashtra.gov.in,"Aadhaar, Caste Certificate, Income Certificate, SchoolBonafide,Bank Details"
,,,,,,
DTE Maharashtra Hostel Allowance,All,Open,800000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar, Income Certificate, Domicile, Admission Receipt, Hostel Certificate"
,,,,,,
Dr. Panjabrao Deshmukh Hostel Maintenance Allowance,All,Open,800000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar, Income Certificate, Domicile, Admission Proof, Hostel Certificate"
,,,,,,
Tuition Fee & Exam Fee for Tribal Students (MH),All,ST,250000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar, ST Caste Certificate, Income Certificate, Admission Receipt"
,,,,,,
Maintenance Allowance for SC Students (MH),All,SC,250000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar, SC Certificate, Income Certificate, Admission Proof"
,,,,,,
Tuition Fee & Exam Fee for SBC Students (MH),All,SBC,800000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar, SBC Certificate, Income Certificate, Fee Receipt"
,,,,,,
Tuition Fee & Exam Fee for VJNT Students (MH),All,NT,800000,12th,https://mahadbt.maharashtra.gov.in,"Aadhaar, VJNT Certificate, Income Certificate, Fee Receipt"
,,,,,,
Chief Minister Fellowship Program (Maharashtra),All,Open,800000,Graduate,https://www.maharashtra.gov.in,"Aadhaar, Degree Certificate, Resume, Income Certificate"
,,,,,,
Central Sector Scholarship for College Students,All,Open,800000,12th,https://scholarships.gov.in,"Aadhaar, Income Certificate, 12th Marksheet, Bonafide Certificate"
,,,,,,
National Means-cum-Merit Scholarship (NMMS),All,Open,350000,10th,https://scholarships.gov.in," Aadhaar, Income Certificate, School Certificate"
,,,,,,
AICTE Pragati Scholarship (Girls),Female,Open,800000,12th,https://scholarships.gov.in,"Aadhaar, Income Certificate, Admission Proof"
,,,,,,
 AICTE Saksham Scholarship,All,All,800000,12th,https://scholarships.gov.in,"Aadhaar, Disability Certificate, Income Certificate"
,,,,,,
INSPIRE Scholarship (DST),All,Open,800000,12th,https://online-inspire.gov.in," Aadhaar, 12th Marksheet (Top 1%), Admission Proof"
,,,,,,
Government of India Post Matric Scholarship (OBC),All,OBC,150000,12th,https://scholarships.gov.in,"Aadhaar, OBC Certificate, Income Certificate, Marksheet"
,,,,,,
Top Class Education Scheme for SC Students,All,SC,800000,12th,https://scholarships.gov.in,"Aadhaar, SC Certificate, Income Certificate, Admission Letter"
,,,,,,
Top Class Education Scheme for ST Students,All,ST,600000,12th,https://scholarships.gov.in,"Aadhaar, ST Certificate, Income Certificate, Admission Letter"
,,,,,,
National Fellowship for OBC Students,All,OBC,800000,Post-Graduate,https://scholarships.gov.in,"Aadhaar, OBC Certificate, Income Certificate, PG Admission Proof"
,,,,,,
National Fellowship for SC Students,All,SC,800000,Post-Graduate,https://scholarships.gov.in,"Aadhaar, SC Certificate, PG Admission Proof"
,,,,,,
National Overseas Scholarship (SC),All,SC,800000,Graduate,https://scholarships.gov.in,"Aadhaar, SC Certificate, Income Certificate, Passport, Admission Offer"
,,,,,,
Pre-Matric Scholarship for SC Students,All,SC,250000,10th,https://scholarships.gov.in,"Aadhaar, SC Certificate, Income Certificate, School Bonafide"
,,,,,,
Pre-Matric Scholarship for ST Students,All,ST,200000,10th,https://scholarships.gov.in,"Aadhaar, ST Certificate, Income Certificate, School Bonafide"
,,,,,,
Prime Minister's Scholarship Scheme (PMSS),All,Open,800000,12th,https://ksb.gov.in,"Aadhaar, Service Certificate, Income Certificate, Marksheet"
,,,,,,
 UGC Ishan Uday Scholarship,All,All,450000,12th,https://scholarships.gov.in,"Aadhaar, Income Certificate, Domicile (NER), Admission Proof"
,,,,,,
PG Indira Gandhi Scholarship for Single Girl Child,Female,Open,800000,Post-Graduate,https://scholarships.gov.in,"Aadhaar, Affidavit (Single Girl Child), PG Admission Proof"
,,,,,,
Merit Cum Means Scholarship (Minorities),All,Open,250000,12th,https://scholarships.gov.in,"Aadhaar, Income Certificate, Minority Certificate, Admission Proof"
,,,,,,
National Scholarship for Persons with Disabilities,All,Open,250000,12th,https://scholarships.gov.in,"Aadhaar, Disability Certificate, Income Certificate, Admission Proof"
